project_name,baseline_usages,current_usages,usages_removed,progress_percentage,migration_status,complexity_change
swift,311,314,-3,-0.96,Regressed,36.00
storlets,7,7,0,0.00,Stalled,0.00
oslo.config,1,1,0,0.00,Stalled,0.00
devstack,1,2,-1,-100.00,Regressed,5.00
releases,1,4,-3,-300.00,Regressed,15.00
project-config,3,4,-1,-33.33,Regressed,5.00
mistral-extra,3,0,3,100.00,FullyMigrated,-9.00
rally-openstack,0,1,-1,-100.00,New,5.00
glance_store,12,9,3,25.00,InProgress,-7.00
neutron-vpnaas,6,0,6,100.00,FullyMigrated,-16.00
puppet-openstacklib,1,1,0,0.00,Stalled,0.00
cinder-specs,10,10,0,0.00,Stalled,0.00
etcd3gw,3,3,0,0.00,Stalled,0.00
openstack-manuals,23,34,-11,-47.83,Regressed,55.00
puppet-manila,1,1,0,0.00,Stalled,0.00
mistral,40,10,30,75.00,InProgress,-81.00
puppet-nova,0,1,-1,-100.00,New,5.00
masakari,28,28,0,0.00,Stalled,0.00
oslo.reports,5,5,0,0.00,Stalled,0.00
networking-sfc,3,9,-6,-200.00,Regressed,34.00
barbican,9,0,9,100.00,FullyMigrated,-36.00
aodh,5,5,0,0.00,Stalled,0.00
security-doc,4,4,0,0.00,Stalled,0.00
oslo.messaging,66,64,2,3.03,InProgress,-2.00
puppet-barbican,5,1,4,80.00,InProgress,-20.00
monasca-api,5,0,5,100.00,FullyMigrated,-25.00
oslo.log,28,56,-28,-100.00,Regressed,122.00
oslo.vmware,4,4,0,0.00,Stalled,0.00
python-zaqarclient,1,1,0,0.00,Stalled,0.00
nova-specs,4,4,0,0.00,Stalled,0.00
heat,63,2,61,96.83,InProgress,-233.00
upstream-institute-virtual-environment,1,1,0,0.00,Stalled,0.00
oslo.concurrency,17,12,5,29.41,InProgress,-17.00
neutron-lib,8,9,-1,-12.50,Regressed,5.00
neutron-dynamic-routing,4,4,0,0.00,Stalled,-3.00
heat-specs,1,1,0,0.00,Stalled,0.00
swift-bench,14,14,0,0.00,Stalled,0.00
neutron-tempest-plugin,5,0,5,100.00,FullyMigrated,-19.00
cyborg,4,4,0,0.00,Stalled,0.00
neutron,174,58,116,66.67,InProgress,-467.00
octavia-tempest-plugin,7,7,0,0.00,Stalled,0.00
python-octaviaclient,6,6,0,0.00,Stalled,0.00
python-mistralclient,1,0,1,100.00,FullyMigrated,-5.00
nova,139,110,29,20.86,InProgress,-100.00
heat-templates,1,0,1,100.00,FullyMigrated,-5.00
python-keystoneclient,5,5,0,0.00,Stalled,0.00
ovsdbapp,7,7,0,0.00,Stalled,0.00
ossa,2,2,0,0.00,Stalled,0.00
futurist,24,25,-1,-4.17,Regressed,5.00
python-manilaclient,1,0,1,100.00,FullyMigrated,-1.00
python-troveclient,1,1,0,0.00,Stalled,0.00
keystone-specs,3,3,0,0.00,Stalled,0.00
magnum,8,8,0,0.00,Stalled,0.00
rpm-packaging,59,54,5,8.47,InProgress,-25.00
glance-specs,11,11,0,0.00,Stalled,0.00
oslo.cache,7,11,-4,-57.14,Regressed,20.00
masakari-monitors,27,29,-2,-7.41,Regressed,6.00
monasca-agent,5,0,5,100.00,FullyMigrated,-17.00
requirements,2,2,0,0.00,Stalled,0.00
ironic,33,21,12,36.36,InProgress,-18.00
kolla,1,1,0,0.00,Stalled,0.00
python-ironicclient,4,4,0,0.00,Stalled,0.00
oslo.privsep,18,20,-2,-11.11,Regressed,10.00
ironic-specs,1,3,-2,-200.00,Regressed,10.00
keystonemiddleware,11,11,0,0.00,Stalled,0.00
monasca-events-api,3,0,3,100.00,FullyMigrated,-15.00
python-swiftclient,1,1,0,0.00,Stalled,0.00
octavia,11,11,0,0.00,Stalled,0.00
kolla-ansible,1,1,0,0.00,Stalled,0.00
watcher,13,31,-18,-138.46,Regressed,80.00
cloudkitty-specs,4,4,0,0.00,Stalled,0.00
puppet-keystone,6,6,0,0.00,Stalled,0.00
venus,22,22,0,0.00,Stalled,0.00
taskflow,32,34,-2,-6.25,Regressed,10.00
zun,15,15,0,0.00,Stalled,0.00
charm-manila,2,2,0,0.00,Stalled,0.00
ironic-inspector,17,0,17,100.00,FullyMigrated,-69.00
tacker,87,87,0,0.00,Stalled,0.00
manila,33,32,1,3.03,InProgress,-2.00
auto-scaling-sig,1,1,0,0.00,Stalled,0.00
os-brick,2,2,0,0.00,Stalled,0.00
networking-baremetal,3,2,1,33.33,InProgress,-1.00
cloudkitty,3,3,0,0.00,Stalled,0.00
python-glanceclient,4,4,0,0.00,Stalled,0.00
bifrost,0,1,-1,-100.00,New,5.00
ceilometer,6,5,1,16.67,InProgress,-5.00
trove,34,28,6,17.65,InProgress,-30.00
os-ken,37,37,0,0.00,Stalled,-3.00
oslo.utils,20,22,-2,-10.00,Regressed,10.00
ovn-bgp-agent,1,1,0,0.00,Stalled,0.00
oslo.db,9,8,1,11.11,InProgress,-5.00
keystone,20,20,0,0.00,Stalled,0.00
designate-specs,1,1,0,0.00,Stalled,0.00
election,5,19,-14,-280.00,Regressed,70.00
openstack-ansible-os_neutron,2,3,-1,-50.00,Regressed,5.00
charm-manila-ganesha,2,2,0,0.00,Stalled,0.00
puppet-neutron,4,0,4,100.00,FullyMigrated,-20.00
blazar,13,13,0,0.00,Stalled,0.00
vitrage,2,2,0,0.00,Stalled,0.00
hacking,2,2,0,0.00,Stalled,0.00
glance,112,101,11,9.82,InProgress,-39.00
openstack-ansible-ops,10,10,0,0.00,Stalled,0.00
oslo.rootwrap,6,7,-1,-16.67,Regressed,5.00
neutron-fwaas,4,4,0,0.00,Stalled,0.00
rally,3,4,-1,-33.33,Regressed,5.00
oslo.service,66,108,-42,-63.64,Regressed,206.00
openstack-ansible,0,3,-3,-100.00,New,15.00
ironic-python-agent,7,5,2,28.57,InProgress,2.00
oslo-specs,51,87,-36,-70.59,Regressed,180.00
networking-generic-switch,7,2,5,71.43,InProgress,-18.00
cinder,167,167,0,0.00,Stalled,0.00
openstack-helm,36,46,-10,-27.78,Regressed,58.00
osops,15,15,0,0.00,Stalled,0.00
mistral-lib,4,0,4,100.00,FullyMigrated,-10.00
tooz,4,7,-3,-75.00,Regressed,15.00
python-cinderclient,1,0,1,100.00,FullyMigrated,-1.00
telemetry-specs,12,12,0,0.00,Stalled,0.00
designate,44,41,3,6.82,InProgress,-5.00
puppet-ceilometer,2,2,0,0.00,Stalled,0.00
governance,95,18,77,81.05,InProgress,-393.00
neutron-specs,7,7,0,0.00,Stalled,0.00
octavia-lib,8,8,0,0.00,Stalled,0.00
