project_name,repository,file_path,line_number,usage_type,code_snippet,file_url
aodh,openstack/aodh,releasenotes/notes/remove-eventlet-18ada1cff213af5e.yaml,4,"Other(""Remove eventlet from Aodh in favour of threaded ap"")",Remove eventlet from Aodh in favour of threaded approach,https://opendev.org/openstack/aodh/src/branch/master/releasenotes/notes/remove-eventlet-18ada1cff213af5e.yaml
aodh,openstack/aodh,releasenotes/source/locale/de/LC_MESSAGES/releasenotes.po,241,"Other(""msgid \""Remove eventlet from Aodh in favour of thre"")","msgid ""Remove eventlet from Aodh in favour of threaded approach""",https://opendev.org/openstack/aodh/src/branch/master/releasenotes/source/locale/de/LC_MESSAGES/releasenotes.po
aodh,openstack/aodh,releasenotes/source/locale/en_GB/LC_MESSAGES/releasenotes.po,444,"Other(""msgid \""Remove eventlet from Aodh in favour of thre"")","msgid ""Remove eventlet from Aodh in favour of threaded approach""",https://opendev.org/openstack/aodh/src/branch/master/releasenotes/source/locale/en_GB/LC_MESSAGES/releasenotes.po
aodh,openstack/aodh,releasenotes/source/locale/en_GB/LC_MESSAGES/releasenotes.po,445,"Other(""msgstr \""Remove eventlet from Aodh in favour of thr"")","msgstr ""Remove eventlet from Aodh in favour of threaded approach""",https://opendev.org/openstack/aodh/src/branch/master/releasenotes/source/locale/en_GB/LC_MESSAGES/releasenotes.po
aodh,openstack/aodh,releasenotes/source/locale/ja/LC_MESSAGES/releasenotes.po,231,"Other(""msgid \""Remove eventlet from Aodh in favour of thre"")","msgid ""Remove eventlet from Aodh in favour of threaded approach""",https://opendev.org/openstack/aodh/src/branch/master/releasenotes/source/locale/ja/LC_MESSAGES/releasenotes.po
auto-scaling-sig,openstack/auto-scaling-sig,.zuul.yaml,56,"Other(""eventlet_opts:"")",eventlet_opts:,https://opendev.org/openstack/auto-scaling-sig/src/branch/master/.zuul.yaml
bifrost,openstack/bifrost,upper-constraints-cs9-py39.txt,158,"Other(""eventlet===0.40.1"")",eventlet===0.40.1,https://opendev.org/openstack/bifrost/src/branch/master/upper-constraints-cs9-py39.txt
blazar,openstack/blazar,blazar/api/v1/app.py,16,Import,import eventlet,https://opendev.org/openstack/blazar/src/branch/master/blazar/api/v1/app.py
blazar,openstack/blazar,blazar/api/v1/app.py,17,"Other(""eventlet.monkey_patch"")",eventlet.monkey_patch(,https://opendev.org/openstack/blazar/src/branch/master/blazar/api/v1/app.py
blazar,openstack/blazar,blazar/cmd/api.py,16,Import,import eventlet,https://opendev.org/openstack/blazar/src/branch/master/blazar/cmd/api.py
blazar,openstack/blazar,blazar/cmd/api.py,17,"Other(""eventlet.monkey_patch"")",eventlet.monkey_patch(,https://opendev.org/openstack/blazar/src/branch/master/blazar/cmd/api.py
blazar,openstack/blazar,blazar/cmd/api.py,23,Import,from eventlet import wsgi,https://opendev.org/openstack/blazar/src/branch/master/blazar/cmd/api.py
blazar,openstack/blazar,blazar/cmd/api.py,59,Listen,"wsgi.server(eventlet.listen((CONF.host, CONF.port), backlog=500), app)",https://opendev.org/openstack/blazar/src/branch/master/blazar/cmd/api.py
blazar,openstack/blazar,blazar/cmd/manager.py,16,Import,import eventlet,https://opendev.org/openstack/blazar/src/branch/master/blazar/cmd/manager.py
blazar,openstack/blazar,blazar/cmd/manager.py,17,MonkeyPatch,eventlet.monkey_patch(),https://opendev.org/openstack/blazar/src/branch/master/blazar/cmd/manager.py
blazar,openstack/blazar,blazar/manager/service.py,20,Import,import eventlet,https://opendev.org/openstack/blazar/src/branch/master/blazar/manager/service.py
blazar,openstack/blazar,blazar/manager/service.py,163,Spawn,event_thread = eventlet.spawn(,https://opendev.org/openstack/blazar/src/branch/master/blazar/manager/service.py
blazar,openstack/blazar,blazar/monitor/notification_monitor.py,38,Executor,executor='eventlet',https://opendev.org/openstack/blazar/src/branch/master/blazar/monitor/notification_monitor.py
blazar,openstack/blazar,blazar/rpc.py,46,Executor,"executor='eventlet',",https://opendev.org/openstack/blazar/src/branch/master/blazar/rpc.py
blazar,openstack/blazar,requirements.txt,11,"Other(""eventlet!=0.18.3,!=0.20.1,!=0.21.0,!=0.23.0,!=0.25"")","eventlet!=0.18.3,!=0.20.1,!=0.21.0,!=0.23.0,!=0.25.0,>=0.18.2 # MIT",https://opendev.org/openstack/blazar/src/branch/master/requirements.txt
ceilometer,openstack/ceilometer,releasenotes/notes/remove-eventlet-6738321434b60c78.yaml,4,"Other(""Remove eventlet from Ceilometer in favour of threa"")",Remove eventlet from Ceilometer in favour of threaded approach,https://opendev.org/openstack/ceilometer/src/branch/master/releasenotes/notes/remove-eventlet-6738321434b60c78.yaml
ceilometer,openstack/ceilometer,releasenotes/source/locale/en_GB/LC_MESSAGES/releasenotes.po,939,"Other(""msgid \""Remove eventlet from Ceilometer in favour o"")","msgid ""Remove eventlet from Ceilometer in favour of threaded approach""",https://opendev.org/openstack/ceilometer/src/branch/master/releasenotes/source/locale/en_GB/LC_MESSAGES/releasenotes.po
ceilometer,openstack/ceilometer,releasenotes/source/locale/en_GB/LC_MESSAGES/releasenotes.po,940,"Other(""msgstr \""Remove eventlet from Ceilometer in favour "")","msgstr ""Remove eventlet from Ceilometer in favour of threaded approach""",https://opendev.org/openstack/ceilometer/src/branch/master/releasenotes/source/locale/en_GB/LC_MESSAGES/releasenotes.po
ceilometer,openstack/ceilometer,releasenotes/source/mitaka.rst,51,"Other("".. releasenotes/notes/remove-eventlet-6738321434b6"")",.. releasenotes/notes/remove-eventlet-6738321434b60c78.yaml @ f24ea44401b8945c9cb8a34b2aedebba3c040691,https://opendev.org/openstack/ceilometer/src/branch/master/releasenotes/source/mitaka.rst
ceilometer,openstack/ceilometer,releasenotes/source/mitaka.rst,53,"Other(""- Remove eventlet from Ceilometer in favour of thr"")",- Remove eventlet from Ceilometer in favour of threaded approach,https://opendev.org/openstack/ceilometer/src/branch/master/releasenotes/source/mitaka.rst
charm-manila,openstack/charm-manila,src/templates/mitaka/logging.conf,43,"Other(""[logger_eventletwsgi]"")",[logger_eventletwsgi],https://opendev.org/openstack/charm-manila/src/branch/master/src/templates/mitaka/logging.conf
charm-manila,openstack/charm-manila,src/templates/mitaka/logging.conf,46,Wsgi,qualname = eventlet.wsgi.server,https://opendev.org/openstack/charm-manila/src/branch/master/src/templates/mitaka/logging.conf
charm-manila-ganesha,openstack/charm-manila-ganesha,src/templates/rocky/logging.conf,43,"Other(""[logger_eventletwsgi]"")",[logger_eventletwsgi],https://opendev.org/openstack/charm-manila-ganesha/src/branch/master/src/templates/rocky/logging.conf
charm-manila-ganesha,openstack/charm-manila-ganesha,src/templates/rocky/logging.conf,46,Wsgi,qualname = eventlet.wsgi.server,https://opendev.org/openstack/charm-manila-ganesha/src/branch/master/src/templates/rocky/logging.conf
cinder,openstack/cinder,cinder/__init__.py,21,Import,import eventlet  # noqa,https://opendev.org/openstack/cinder/src/branch/master/cinder/__init__.py
cinder,openstack/cinder,cinder/backup/api.py,25,Import,from eventlet import greenthread,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/api.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,30,Import,import eventlet,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,129,"Other(""eventlet.tpool"")",return eventlet.tpool.Proxy(result),https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,164,"Other(""eventlet.tpool"")",return eventlet.tpool.Proxy(writer),https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,169,"Other(""eventlet.tpool"")",return eventlet.tpool.Proxy(reader),https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,191,"Other(""The object writer methods must not have any loggin"")","The object writer methods must not have any logging calls, as eventlet",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,192,"Other(""has a bug (https://github.com/eventlet/eventlet/is"")",has a bug (https://github.com/eventlet/eventlet/issues/432) that would,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
